Argentina,Argentina,0
Australia,Australia,0
BespokeCalendar,BespokeCalendar,0
Brazil,Brazil,0
Canada,Canada,0
China,China,0
CzechRepublic,CzechRepublic,0
Denmark,Denmark,0
Finland,Finland,0
Germany,Germany,0
HongKong,HongKong,0
Hungary,Hungary,0
Iceland,Iceland,0
India,India,0
Indonesia,Indonesia,0
Italy,Italy,0
Japan,Japan,0
JointCalendar,JointCalendar,0
Mexico,Mexico,0
NewZealand,NewZealand,0
Norway,Norway,0
NullCalendar,NullCalendar,0
Poland,Poland,0
Russia,Russia,0
SaudiArabia,SaudiArabia,0
Singapore,Singapore,0
Slovakia,Slovakia,0
SouthAfrica,SouthAfrica,0
SouthKorea,SouthKorea,0
Sweden,Sweden,0
Switzerland,Switzerland,0
Taiwan,Taiwan,0
TARGET,TARGET,0
Turkey,Turkey,0
Ukraine,Ukraine,0
UnitedKingdom,UnitedKingdom,0
UnitedStates,UnitedStates,0
WeekendsOnly,WeekendsOnly,0
